matter_id,practice_area,partner,associate,client_id,client_type,office,open_date,close_date,status,duration_days,actual_hours,recorded_hours,recording_rate,hourly_rate,potential_fees_bwp,billed_fees_bwp,disbursements_bwp,outstanding_bwp,leakage_bwp,satisfaction,year
MLA-0121,Litigation,Partner_Mmolawa,Associate_13,CLT-079,SME,Francistown,2022-05-03,2022-10-23,Completed,173,157.5,110.8,0.703,2800,440983.0,310158.0,43413.0,0.0,130824.0,,2022
MLA-0122,Litigation,Partner_Setlhabi,Associate_14,CLT-003,Mining Company,Gaborone,2024-10-03,,Active,179,184.1,165.8,0.901,2800,515425.0,464292.0,34107.0,0.0,51133.0,,2024
MLA-0123,Commercial Law,Partner_Molao,Associate_10,CLT-010,Mining Company,Gaborone,2024-10-04,2025-01-24,Completed,112,109.2,97.6,0.893,3200,349384.0,312162.0,33622.0,0.0,37222.0,,2024
MLA-0124,Regulatory & Compliance,Partner_Thapelo,Associate_14,CLT-009,Government / Parastatal,Gaborone,2018-08-23,2018-11-24,Completed,93,46.1,32.3,0.699,2600,119965.0,83872.0,8155.0,20968.0,36093.0,,2018
MLA-0125,Regulatory & Compliance,Partner_Setlhabi,Associate_20,CLT-069,SME,Francistown,2022-11-30,2023-04-28,Completed,149,82.0,54.5,0.665,2600,213202.0,141686.0,21424.0,0.0,71517.0,3.5,2022
MLA-0126,Property & Conveyancing,Partner_Gaobuse,Associate_15,CLT-112,Large Corporate,Francistown,2022-03-04,2022-05-31,Completed,88,29.1,24.8,0.849,1800,52470.0,44557.0,3025.0,0.0,7913.0,3.0,2022
MLA-0127,Litigation,Partner_Molao,Associate_06,CLT-040,Mining Company,Maun,2022-05-05,2022-12-11,Completed,220,166.8,157.7,0.945,2800,467062.0,441455.0,66547.0,110364.0,25607.0,3.6,2022
MLA-0128,Employment Law,Partner_Mmolawa,Associate_16,CLT-007,Government / Parastatal,Francistown,2019-07-10,2019-10-24,Completed,106,76.2,62.7,0.824,2200,167533.0,137974.0,23018.0,0.0,29559.0,4.4,2019
MLA-0129,Employment Law,Partner_Gaobuse,Associate_12,CLT-074,SME,Gaborone,2024-03-02,2024-06-14,Active,104,80.1,70.2,0.876,2200,176287.0,154430.0,24813.0,38607.0,21857.0,,2024
MLA-0130,Regulatory & Compliance,Partner_Setlhabi,Associate_12,CLT-042,Financial Institution,Gaborone,2019-05-13,2019-08-26,Completed,105,80.5,72.3,0.898,2600,209338.0,188057.0,15190.0,0.0,21281.0,4.0,2019
MLA-0131,Property & Conveyancing,Partner_Gaobuse,Associate_18,CLT-005,Large Corporate,Gaborone,2018-12-20,2019-02-18,Completed,60,26.7,19.9,0.746,1800,48104.0,35883.0,5139.0,0.0,12221.0,3.5,2018
MLA-0132,Litigation,Partner_Setlhabi,Associate_05,CLT-116,SME,Francistown,2018-10-31,2020-01-14,Completed,440,99.9,76.6,0.767,2800,279740.0,214475.0,20329.0,107237.0,65265.0,,2018
MLA-0133,Employment Law,Partner_Mmolawa,Associate_05,CLT-030,Government / Parastatal,Maun,2018-08-15,2018-09-25,Completed,41,35.6,29.2,0.819,2200,78395.0,64170.0,5746.0,0.0,14225.0,,2018
MLA-0134,Litigation,Partner_Thapelo,Associate_10,CLT-096,Government / Parastatal,Francistown,2020-10-23,2021-09-03,On Hold,315,196.7,143.6,0.73,2800,550893.0,402183.0,34459.0,0.0,148710.0,,2020
MLA-0135,Employment Law,Partner_Mmolawa,Associate_06,CLT-055,Financial Institution,Gaborone,2024-07-06,2024-10-14,Completed,100,67.0,44.2,0.66,2200,147431.0,97317.0,13983.0,0.0,50115.0,,2024
MLA-0136,Property & Conveyancing,Partner_Molao,Associate_03,CLT-002,Large Corporate,Francistown,2024-06-20,2024-07-18,Completed,28,27.9,21.6,0.774,1800,50184.0,38836.0,4830.0,0.0,11348.0,3.9,2024
MLA-0137,Regulatory & Compliance,Partner_Thapelo,Associate_10,CLT-063,Large Corporate,Francistown,2021-05-22,2021-11-04,Active,166,49.6,39.8,0.803,2600,128946.0,103563.0,14400.0,0.0,25383.0,,2021
MLA-0138,Commercial Law,Partner_Molao,Associate_15,CLT-027,SME,Gaborone,2023-03-18,2023-05-17,Completed,60,80.6,61.1,0.758,3200,258000.0,195529.0,17722.0,48882.0,62472.0,,2023
MLA-0139,Mining & Resources,Partner_Setlhabi,Associate_12,CLT-043,Mining Company,Maun,2019-03-11,2020-02-23,Completed,349,177.5,130.4,0.735,3800,674511.0,495430.0,41998.0,0.0,179081.0,3.1,2019
MLA-0140,Litigation,Partner_Setlhabi,Associate_20,CLT-027,SME,Gaborone,2019-10-17,2020-07-06,Active,263,99.7,85.4,0.856,2800,279191.0,239020.0,34358.0,0.0,40171.0,,2019
MLA-0141,Commercial Law,Partner_Mmolawa,Associate_16,CLT-101,Government / Parastatal,Francistown,2023-07-31,2023-10-10,Active,71,92.3,58.1,0.629,3200,295321.0,185882.0,21508.0,185882.0,109439.0,,2023
MLA-0142,Commercial Law,Partner_Molao,Associate_02,CLT-010,Mining Company,Gaborone,2024-09-13,2024-12-20,Completed,98,71.0,66.5,0.937,3200,227157.0,212832.0,23662.0,0.0,14325.0,,2024
MLA-0143,Property & Conveyancing,Partner_Gaobuse,Associate_13,CLT-019,Government / Parastatal,Gaborone,2022-06-29,2022-07-24,Completed,25,13.8,10.2,0.742,1800,24856.0,18442.0,1791.0,0.0,6414.0,2.6,2022
MLA-0144,Property & Conveyancing,Partner_Gaobuse,Associate_20,CLT-069,SME,Francistown,2019-05-02,2019-07-06,Completed,65,25.9,19.8,0.763,1800,46635.0,35588.0,3506.0,35588.0,11047.0,4.4,2019
MLA-0145,Litigation,Partner_Setlhabi,Associate_20,CLT-042,Financial Institution,Gaborone,2023-08-11,2024-03-22,Completed,224,182.0,121.2,0.666,2800,509671.0,339391.0,48454.0,84848.0,170280.0,3.5,2023
MLA-0146,Commercial Law,Partner_Setlhabi,Associate_11,CLT-110,Government / Parastatal,Gaborone,2021-07-28,2021-10-25,On Hold,89,55.2,38.4,0.696,3200,176559.0,122881.0,17954.0,0.0,53678.0,,2021
MLA-0147,Litigation,Partner_Thapelo,Associate_16,CLT-074,SME,Gaborone,2021-05-12,2022-02-06,Completed,270,125.9,100.8,0.801,2800,352396.0,282304.0,26271.0,0.0,70092.0,3.2,2021
MLA-0148,Litigation,Partner_Molao,Associate_20,CLT-036,Large Corporate,Francistown,2024-06-27,,Active,277,165.4,141.7,0.856,2800,463254.0,396775.0,57049.0,0.0,66479.0,,2024
MLA-0149,Commercial Law,Partner_Molao,Associate_20,CLT-084,Large Corporate,Gaborone,2022-04-07,2022-07-20,Completed,104,81.8,60.8,0.743,3200,261646.0,194406.0,10518.0,97203.0,67240.0,4.0,2022
MLA-0150,Commercial Law,Partner_Molao,Associate_05,CLT-027,SME,Gaborone,2020-04-15,2020-07-22,Completed,98,73.1,59.4,0.812,3200,233804.0,189928.0,32225.0,94964.0,43876.0,,2020
MLA-0151,Commercial Law,Partner_Molao,Associate_07,CLT-050,Large Corporate,Maun,2023-05-14,2023-08-15,Completed,93,85.4,71.9,0.843,3200,273199.0,230232.0,16695.0,115116.0,42967.0,3.3,2023
MLA-0152,Litigation,Partner_Gaobuse,Associate_20,CLT-038,Government / Parastatal,Gaborone,2020-10-06,2021-10-15,Completed,374,141.2,113.5,0.804,2800,395363.0,317938.0,54810.0,317938.0,77424.0,,2020
MLA-0153,Employment Law,Partner_Mmolawa,Associate_16,CLT-011,Large Corporate,Gaborone,2021-11-29,2022-03-19,Active,110,82.9,62.6,0.755,2200,182456.0,137782.0,19815.0,0.0,44674.0,,2021
MLA-0154,Property & Conveyancing,Partner_Gaobuse,Associate_13,CLT-091,SME,Gaborone,2019-08-23,2019-10-02,Completed,40,49.1,39.6,0.807,1800,88382.0,71350.0,10192.0,0.0,17032.0,4.0,2019
MLA-0155,Litigation,Partner_Setlhabi,Associate_07,CLT-093,Large Corporate,Gaborone,2021-01-15,2022-04-10,Completed,450,149.0,131.9,0.886,2800,417155.0,369400.0,25062.0,0.0,47754.0,3.2,2021
MLA-0156,Litigation,Partner_Setlhabi,Associate_17,CLT-008,Large Corporate,Francistown,2020-08-11,2021-02-09,Completed,182,98.9,66.1,0.669,2800,276790.0,185148.0,26524.0,0.0,91642.0,,2020
MLA-0157,Commercial Law,Partner_Molao,Associate_06,CLT-026,Government / Parastatal,Gaborone,2023-05-03,2023-07-13,Completed,71,21.8,18.1,0.83,3200,69805.0,57941.0,10158.0,0.0,11864.0,,2023
MLA-0158,Regulatory & Compliance,Partner_Molao,Associate_19,CLT-008,Large Corporate,Francistown,2018-06-02,2018-10-07,Completed,127,47.7,45.1,0.945,2600,124097.0,117283.0,19316.0,0.0,6814.0,,2018
MLA-0159,Regulatory & Compliance,Partner_Mmolawa,Associate_16,CLT-006,Large Corporate,Gaborone,2021-03-31,2021-10-27,Completed,210,72.8,60.3,0.829,2600,189215.0,156889.0,19428.0,0.0,32326.0,,2021
MLA-0160,Litigation,Partner_Thapelo,Associate_17,CLT-040,Mining Company,Maun,2019-07-04,2020-01-04,Completed,184,186.6,167.4,0.897,2800,522398.0,468602.0,35176.0,0.0,53796.0,3.2,2019
MLA-0161,Property & Conveyancing,Partner_Gaobuse,Associate_06,CLT-001,Financial Institution,Francistown,2021-10-12,2021-11-08,Completed,27,32.8,31.0,0.944,1800,59077.0,55762.0,8278.0,0.0,3315.0,,2021
MLA-0162,Regulatory & Compliance,Partner_Mmolawa,Associate_17,CLT-013,SME,Gaborone,2022-06-30,2022-12-23,Completed,176,106.7,83.3,0.781,2600,277331.0,216486.0,14782.0,0.0,60845.0,3.5,2022
MLA-0163,Litigation,Partner_Setlhabi,Associate_09,CLT-113,Government / Parastatal,Francistown,2021-05-21,2022-05-25,Completed,369,56.1,44.8,0.799,2800,156958.0,125454.0,10538.0,0.0,31504.0,3.7,2021
MLA-0164,Employment Law,Partner_Mmolawa,Associate_06,CLT-025,Large Corporate,Francistown,2023-08-21,2023-09-18,Active,28,78.8,66.2,0.84,2200,173422.0,145675.0,21863.0,36419.0,27746.0,,2023
MLA-0165,Employment Law,Partner_Gaobuse,Associate_20,CLT-008,Large Corporate,Francistown,2019-07-02,2019-10-14,Completed,104,43.5,37.3,0.859,2200,95616.0,82091.0,14657.0,0.0,13526.0,,2019
MLA-0166,Regulatory & Compliance,Partner_Thapelo,Associate_07,CLT-082,Financial Institution,Maun,2024-09-06,2024-12-13,Completed,98,66.1,59.6,0.903,2600,171779.0,155056.0,16758.0,38764.0,16723.0,4.2,2024
MLA-0167,Property & Conveyancing,Partner_Gaobuse,Associate_18,CLT-105,Government / Parastatal,Gaborone,2020-04-08,2020-06-02,Completed,55,17.5,15.5,0.884,1800,31567.0,27916.0,2587.0,0.0,3651.0,3.5,2020
MLA-0168,Commercial Law,Partner_Molao,Associate_03,CLT-104,Government / Parastatal,Gaborone,2022-12-30,2023-04-24,Completed,115,100.3,92.0,0.917,3200,320975.0,294492.0,34374.0,0.0,26482.0,3.0,2022
MLA-0169,Property & Conveyancing,Partner_Molao,Associate_13,CLT-009,Government / Parastatal,Gaborone,2018-01-13,2018-03-21,Completed,67,13.0,11.7,0.901,1800,23338.0,21025.0,1175.0,0.0,2313.0,4.0,2018
MLA-0170,Regulatory & Compliance,Partner_Molao,Associate_16,CLT-002,Large Corporate,Francistown,2022-08-02,2023-02-12,Completed,194,48.0,36.1,0.752,2600,124727.0,93734.0,12504.0,23434.0,30993.0,,2022
MLA-0171,Litigation,Partner_Mmolawa,Associate_13,CLT-021,Large Corporate,Gaborone,2024-01-18,2025-01-05,Active,353,145.7,95.4,0.655,2800,407871.0,267204.0,17481.0,267204.0,140667.0,,2024
MLA-0172,Litigation,Partner_Setlhabi,Associate_08,CLT-094,Large Corporate,Francistown,2018-04-04,2019-06-15,Completed,437,143.3,128.5,0.897,2800,401264.0,359817.0,51627.0,0.0,41447.0,5.0,2018
MLA-0173,Litigation,Partner_Setlhabi,Associate_05,CLT-009,Government / Parastatal,Gaborone,2019-04-08,2020-03-06,Completed,333,127.8,84.9,0.664,2800,357842.0,237580.0,30871.0,118790.0,120262.0,,2019
MLA-0174,Litigation,Partner_Setlhabi,Associate_20,CLT-002,Large Corporate,Francistown,2024-09-14,,Active,198,171.6,141.0,0.821,2800,480546.0,394681.0,64486.0,0.0,85865.0,,2024
MLA-0175,Commercial Law,Partner_Molao,Associate_18,CLT-007,Government / Parastatal,Francistown,2018-08-20,2018-12-12,On Hold,114,56.3,41.7,0.741,3200,180139.0,133482.0,10737.0,66741.0,46657.0,,2018
MLA-0176,Property & Conveyancing,Partner_Gaobuse,Associate_11,CLT-008,Large Corporate,Francistown,2019-08-10,2019-08-27,Completed,17,38.4,38.3,0.997,1800,69071.0,68870.0,7146.0,0.0,201.0,2.6,2019
MLA-0177,Property & Conveyancing,Partner_Gaobuse,Associate_06,CLT-061,Large Corporate,Gaborone,2022-10-16,2022-12-07,Completed,52,8.0,7.1,0.88,1800,14428.0,12693.0,1203.0,0.0,1735.0,3.9,2022
MLA-0178,Property & Conveyancing,Partner_Gaobuse,Associate_14,CLT-005,Large Corporate,Gaborone,2022-03-22,2022-05-21,Completed,60,42.7,33.2,0.778,1800,76902.0,59845.0,4867.0,0.0,17057.0,,2022
MLA-0179,Commercial Law,Partner_Molao,Associate_02,CLT-050,Large Corporate,Maun,2022-09-03,2022-10-13,Completed,40,133.5,113.6,0.851,3200,427044.0,363467.0,29649.0,0.0,63577.0,,2022
MLA-0180,Regulatory & Compliance,Partner_Gaobuse,Associate_03,CLT-046,High-Net-Worth Individual,Gaborone,2020-02-20,2020-07-21,Completed,152,26.2,19.5,0.742,2600,68245.0,50642.0,6515.0,0.0,17602.0,3.4,2020
MLA-0181,Mining & Resources,Partner_Thapelo,Associate_18,CLT-007,Government / Parastatal,Francistown,2020-05-05,2020-06-25,Completed,51,197.7,178.3,0.902,3800,751303.0,677462.0,118158.0,0.0,73841.0,,2020
MLA-0182,Regulatory & Compliance,Partner_Molao,Associate_16,CLT-107,Government / Parastatal,Gaborone,2024-10-11,2024-12-07,Completed,57,63.0,56.0,0.89,2600,163729.0,145685.0,11817.0,0.0,18044.0,4.3,2024
MLA-0183,Property & Conveyancing,Partner_Gaobuse,Associate_10,CLT-009,Government / Parastatal,Gaborone,2023-10-02,2023-11-07,Completed,36,31.6,30.6,0.969,1800,56867.0,55104.0,8506.0,13776.0,1762.0,,2023
MLA-0184,Litigation,Partner_Setlhabi,Associate_11,CLT-027,SME,Gaborone,2024-04-23,2024-09-08,Completed,138,114.8,99.7,0.869,2800,321497.0,279241.0,14551.0,0.0,42256.0,3.8,2024
MLA-0185,Employment Law,Partner_Mmolawa,Associate_07,CLT-013,SME,Gaborone,2022-04-05,2022-05-23,Completed,48,73.4,55.6,0.757,2200,161450.0,122271.0,14866.0,61136.0,39179.0,4.2,2022
MLA-0186,Mining & Resources,Partner_Thapelo,Associate_16,CLT-034,Government / Parastatal,Maun,2021-12-13,2022-07-05,Completed,204,162.9,117.8,0.723,3800,618951.0,447603.0,50794.0,223801.0,171349.0,3.4,2021
MLA-0187,Employment Law,Partner_Mmolawa,Associate_02,CLT-095,High-Net-Worth Individual,Gaborone,2018-11-01,2019-01-02,Completed,62,35.1,29.6,0.845,2200,77157.0,65212.0,9740.0,0.0,11946.0,,2018
MLA-0188,Litigation,Partner_Setlhabi,Associate_01,CLT-007,Government / Parastatal,Francistown,2023-02-11,2024-04-14,Completed,428,81.3,60.8,0.748,2800,227651.0,170239.0,23268.0,0.0,57412.0,3.5,2023
MLA-0189,Property & Conveyancing,Partner_Gaobuse,Associate_18,CLT-026,Government / Parastatal,Gaborone,2018-03-10,2018-05-12,Completed,63,21.1,18.4,0.873,1800,38057.0,33206.0,5880.0,0.0,4851.0,,2018
MLA-0190,Employment Law,Partner_Setlhabi,Associate_04,CLT-107,Government / Parastatal,Gaborone,2023-11-18,2024-01-29,Completed,72,52.8,36.6,0.693,2200,116243.0,80513.0,9536.0,20128.0,35730.0,3.9,2023
MLA-0191,Litigation,Partner_Setlhabi,Associate_13,CLT-034,Government / Parastatal,Maun,2020-09-23,2021-03-31,Completed,189,177.1,159.3,0.9,2800,495930.0,446137.0,61980.0,111534.0,49793.0,,2020
MLA-0192,Mining & Resources,Partner_Molao,Associate_13,CLT-021,Large Corporate,Gaborone,2024-03-13,2024-12-04,Completed,266,159.7,132.5,0.83,3800,606832.0,503468.0,71175.0,0.0,103365.0,,2024
MLA-0193,Employment Law,Partner_Mmolawa,Associate_04,CLT-104,Government / Parastatal,Gaborone,2018-06-24,2018-07-25,Active,31,10.7,7.2,0.678,2200,23514.0,15937.0,2231.0,0.0,7577.0,,2018
MLA-0194,Litigation,Partner_Gaobuse,Associate_18,CLT-051,Large Corporate,Francistown,2018-05-15,2019-10-14,Active,517,207.0,160.8,0.777,2800,579535.0,450278.0,23430.0,0.0,129257.0,,2018
MLA-0195,Commercial Law,Partner_Mmolawa,Associate_03,CLT-010,Mining Company,Gaborone,2024-04-28,2024-08-16,Active,110,77.6,52.8,0.68,3200,248292.0,168906.0,16990.0,84453.0,79386.0,,2024
MLA-0196,Litigation,Partner_Setlhabi,Associate_03,CLT-041,High-Net-Worth Individual,Francistown,2021-11-17,2023-05-06,Completed,535,155.3,103.9,0.669,2800,434704.0,290908.0,46262.0,0.0,143796.0,,2021
MLA-0197,Regulatory & Compliance,Partner_Mmolawa,Associate_11,CLT-001,Financial Institution,Francistown,2021-01-24,2021-05-17,Completed,113,90.5,73.0,0.807,2600,235223.0,189907.0,15128.0,0.0,45316.0,3.1,2021
MLA-0198,Commercial Law,Partner_Molao,Associate_13,CLT-003,Mining Company,Gaborone,2024-12-08,2025-03-15,Completed,97,37.2,29.1,0.782,3200,119066.0,93107.0,5545.0,0.0,25959.0,3.3,2024
MLA-0199,Mining & Resources,Partner_Thapelo,Associate_13,CLT-011,Large Corporate,Gaborone,2019-03-13,2019-10-21,Active,222,100.4,70.6,0.703,3800,381681.0,268450.0,28943.0,67113.0,113230.0,,2019
MLA-0200,Commercial Law,Partner_Molao,Associate_14,CLT-032,Large Corporate,Gaborone,2024-03-22,2024-08-19,Completed,150,52.8,44.3,0.839,3200,169037.0,141870.0,8746.0,0.0,27167.0,4.4,2024
MLA-0201,Mining & Resources,Partner_Molao,Associate_10,CLT-027,SME,Gaborone,2018-12-13,2020-04-03,Completed,477,199.4,178.6,0.895,3800,757879.0,678574.0,121502.0,0.0,79305.0,3.9,2018
MLA-0202,Employment Law,Partner_Mmolawa,Associate_09,CLT-010,Mining Company,Gaborone,2023-07-13,2023-11-18,Completed,128,38.4,25.3,0.658,2200,84525.0,55630.0,4777.0,0.0,28895.0,,2023
MLA-0203,Litigation,Partner_Mmolawa,Associate_20,CLT-059,SME,Gaborone,2023-02-19,2023-07-09,Completed,140,166.4,108.0,0.649,2800,465938.0,302409.0,52422.0,0.0,163530.0,,2023
MLA-0204,Mining & Resources,Partner_Thapelo,Associate_11,CLT-029,Mining Company,Francistown,2024-08-31,2025-03-13,Completed,194,186.7,133.4,0.715,3800,709370.0,506995.0,87784.0,0.0,202375.0,2.5,2024
MLA-0205,Regulatory & Compliance,Partner_Gaobuse,Associate_10,CLT-078,Financial Institution,Gaborone,2023-07-05,2024-04-05,Completed,275,86.1,85.4,0.992,2600,223783.0,222038.0,20509.0,0.0,1746.0,,2023
MLA-0206,Litigation,Partner_Setlhabi,Associate_19,CLT-120,Large Corporate,Gaborone,2020-01-07,2020-10-27,Completed,294,71.5,58.9,0.824,2800,200117.0,164836.0,28663.0,0.0,35280.0,,2020
MLA-0207,Property & Conveyancing,Partner_Gaobuse,Associate_03,CLT-092,Financial Institution,Maun,2022-08-03,2022-09-19,Completed,47,21.6,19.7,0.912,1800,38923.0,35487.0,3171.0,0.0,3436.0,3.0,2022
MLA-0208,Property & Conveyancing,Partner_Gaobuse,Associate_15,CLT-119,High-Net-Worth Individual,Gaborone,2023-05-17,2023-07-15,Completed,59,19.5,17.3,0.887,1800,35159.0,31185.0,5303.0,15592.0,3975.0,2.8,2023
MLA-0209,Commercial Law,Partner_Thapelo,Associate_20,CLT-063,Large Corporate,Francistown,2018-12-15,2019-03-13,Completed,88,93.0,65.9,0.708,3200,297747.0,210772.0,28751.0,0.0,86975.0,,2018
MLA-0210,Property & Conveyancing,Partner_Gaobuse,Associate_13,CLT-115,SME,Francistown,2021-09-20,2021-10-27,Completed,37,25.7,25.4,0.992,1800,46185.0,45799.0,2353.0,0.0,386.0,3.0,2021
MLA-0211,Property & Conveyancing,Partner_Gaobuse,Associate_19,CLT-008,Large Corporate,Francistown,2022-03-13,2022-05-22,Completed,70,35.4,29.6,0.835,1800,63725.0,53196.0,6730.0,0.0,10529.0,2.7,2022
MLA-0212,Commercial Law,Partner_Molao,Associate_14,CLT-108,SME,Gaborone,2018-12-18,2019-04-14,Active,117,88.0,64.6,0.735,3200,281456.0,206770.0,14147.0,0.0,74687.0,,2018
MLA-0213,Property & Conveyancing,Partner_Gaobuse,Associate_16,CLT-016,Large Corporate,Francistown,2019-02-04,2019-04-16,Completed,71,11.6,9.9,0.848,1800,20952.0,17759.0,1624.0,0.0,3193.0,,2019
MLA-0214,Commercial Law,Partner_Molao,Associate_06,CLT-109,High-Net-Worth Individual,Gaborone,2020-09-26,2021-01-14,Completed,110,65.3,54.9,0.84,3200,208918.0,175538.0,16330.0,0.0,33380.0,3.3,2020
MLA-0215,Mining & Resources,Partner_Thapelo,Associate_06,CLT-063,Large Corporate,Francistown,2022-11-06,2023-02-18,Completed,104,73.7,57.5,0.781,3800,279901.0,218568.0,36021.0,0.0,61334.0,3.8,2022
MLA-0216,Commercial Law,Partner_Molao,Associate_09,CLT-081,Financial Institution,Maun,2018-09-14,2018-11-10,Completed,57,92.7,79.4,0.856,3200,296726.0,254122.0,30443.0,0.0,42604.0,4.2,2018
MLA-0217,Commercial Law,Partner_Molao,Associate_16,CLT-045,Financial Institution,Maun,2021-07-07,2021-10-02,Completed,87,35.6,30.6,0.862,3200,113823.0,98070.0,12387.0,0.0,15753.0,,2021
MLA-0218,Employment Law,Partner_Gaobuse,Associate_20,CLT-055,Financial Institution,Gaborone,2019-07-03,2019-09-17,Completed,76,31.7,25.8,0.813,2200,69713.0,56712.0,3698.0,0.0,13002.0,3.4,2019
MLA-0219,Litigation,Partner_Setlhabi,Associate_19,CLT-022,Government / Parastatal,Gaborone,2020-01-31,2020-08-21,Completed,203,97.8,75.9,0.776,2800,273951.0,212510.0,36018.0,106255.0,61442.0,4.5,2020
MLA-0220,Commercial Law,Partner_Molao,Associate_06,CLT-011,Large Corporate,Gaborone,2023-01-22,2023-05-22,Active,120,67.8,58.9,0.868,3200,217080.0,188322.0,32719.0,0.0,28758.0,,2023
MLA-0221,Commercial Law,Partner_Molao,Associate_18,CLT-041,High-Net-Worth Individual,Francistown,2023-07-21,2023-11-07,Completed,109,51.4,41.7,0.812,3200,164452.0,133537.0,19005.0,0.0,30915.0,4.8,2023
MLA-0222,Property & Conveyancing,Partner_Setlhabi,Associate_10,CLT-002,Large Corporate,Francistown,2020-07-09,2020-08-08,Completed,30,5.0,3.9,0.788,1800,9000.0,7094.0,776.0,1774.0,1906.0,,2020
MLA-0223,Property & Conveyancing,Partner_Gaobuse,Associate_04,CLT-009,Government / Parastatal,Gaborone,2024-02-03,2024-03-27,Completed,53,33.7,32.1,0.953,1800,60580.0,57718.0,9058.0,0.0,2862.0,,2024
MLA-0224,Property & Conveyancing,Partner_Molao,Associate_08,CLT-010,Mining Company,Gaborone,2018-05-13,2018-06-16,Completed,34,31.6,26.0,0.823,1800,56947.0,46852.0,7317.0,0.0,10095.0,,2018
MLA-0225,Mining & Resources,Partner_Thapelo,Associate_19,CLT-071,SME,Maun,2024-11-04,,Active,147,206.1,173.4,0.841,3800,783033.0,658810.0,47156.0,0.0,124223.0,,2024
MLA-0226,Commercial Law,Partner_Molao,Associate_02,CLT-052,Government / Parastatal,Maun,2023-12-21,2024-03-29,Completed,99,119.7,93.2,0.778,3200,383173.0,298188.0,27456.0,74547.0,84985.0,4.0,2023
MLA-0227,Litigation,Partner_Molao,Associate_05,CLT-115,SME,Francistown,2022-08-13,2023-02-22,On Hold,193,119.8,113.4,0.947,2800,335490.0,317560.0,51672.0,0.0,17930.0,,2022
MLA-0228,Mining & Resources,Partner_Thapelo,Associate_11,CLT-093,Large Corporate,Gaborone,2022-05-28,2023-05-10,Completed,347,169.7,136.6,0.805,3800,644940.0,519055.0,44085.0,0.0,125884.0,3.5,2022
MLA-0229,Employment Law,Partner_Molao,Associate_13,CLT-043,Mining Company,Maun,2021-02-13,2021-07-09,Active,146,60.6,53.8,0.887,2200,133272.0,118266.0,12904.0,0.0,15006.0,,2021
MLA-0230,Property & Conveyancing,Partner_Molao,Associate_15,CLT-062,Large Corporate,Francistown,2022-01-07,2022-02-15,Completed,39,36.5,33.9,0.928,1800,65767.0,61060.0,6210.0,61060.0,4707.0,,2022
MLA-0231,Property & Conveyancing,Partner_Gaobuse,Associate_10,CLT-015,Government / Parastatal,Francistown,2024-06-25,2024-08-12,Active,48,39.8,30.4,0.764,1800,71589.0,54669.0,8336.0,27335.0,16920.0,,2024
MLA-0232,Mining & Resources,Partner_Thapelo,Associate_15,CLT-001,Financial Institution,Francistown,2019-10-10,2020-04-06,Completed,179,57.3,45.4,0.793,3800,217859.0,172659.0,30137.0,0.0,45200.0,,2019
MLA-0233,Commercial Law,Partner_Molao,Associate_06,CLT-100,High-Net-Worth Individual,Gaborone,2021-01-27,2021-04-14,Completed,77,29.3,21.4,0.729,3200,93901.0,68420.0,4154.0,17105.0,25481.0,,2021
MLA-0234,Commercial Law,Partner_Molao,Associate_08,CLT-029,Mining Company,Francistown,2019-01-09,2019-06-08,Completed,150,85.5,76.1,0.89,3200,273753.0,243579.0,27277.0,0.0,30174.0,4.0,2019
MLA-0235,Employment Law,Partner_Mmolawa,Associate_11,CLT-091,SME,Gaborone,2022-09-26,2023-01-10,Completed,106,50.8,39.9,0.786,2200,111721.0,87858.0,7008.0,0.0,23863.0,,2022
MLA-0236,Commercial Law,Partner_Molao,Associate_10,CLT-005,Large Corporate,Gaborone,2019-06-30,2019-10-06,Completed,98,19.2,16.8,0.873,3200,61500.0,53713.0,3163.0,0.0,7787.0,,2019
MLA-0237,Commercial Law,Partner_Molao,Associate_07,CLT-061,Large Corporate,Gaborone,2019-09-13,2019-10-19,Completed,36,107.9,102.2,0.947,3200,345386.0,327030.0,35159.0,0.0,18357.0,,2019
MLA-0238,Commercial Law,Partner_Molao,Associate_13,CLT-017,SME,Francistown,2022-10-25,2023-02-04,Completed,102,119.0,93.7,0.787,3200,380885.0,299768.0,25782.0,0.0,81118.0,3.5,2022
MLA-0239,Employment Law,Partner_Mmolawa,Associate_01,CLT-096,Government / Parastatal,Francistown,2021-05-20,2021-10-19,Completed,152,67.2,45.2,0.672,2200,147798.0,99331.0,7403.0,0.0,48467.0,,2021
MLA-0240,Mining & Resources,Partner_Setlhabi,Associate_16,CLT-022,Government / Parastatal,Gaborone,2020-09-14,2021-08-09,Completed,329,212.7,165.7,0.779,3800,808376.0,629642.0,74724.0,629642.0,178734.0,,2020
MLA-0241,Regulatory & Compliance,Partner_Setlhabi,Associate_13,CLT-098,High-Net-Worth Individual,Maun,2024-05-17,2024-08-04,Completed,79,54.5,41.4,0.76,2600,141829.0,107724.0,7806.0,0.0,34105.0,,2024
MLA-0242,Commercial Law,Partner_Molao,Associate_01,CLT-009,Government / Parastatal,Gaborone,2018-06-13,2018-08-11,Active,59,109.7,103.9,0.948,3200,351048.0,332639.0,33842.0,0.0,18409.0,,2018
