date,day_of_week,month,is_weekend,rooms_occupied,occupancy_rate_pct,standard_occupied,deluxe_occupied,suite_occupied,family_occupied,daily_revenue_bwp,avg_room_rate_bwp,staff_on_duty,pricing_multiplier,event_boost
2025-10-03,Friday,10,0,80,88.9,30,19,7,12,91616.59,1145.21,13,1.1,1.25
2025-10-04,Saturday,10,1,63,70.0,29,19,5,11,82785.54,1314.06,9,1.1,1.0
2025-10-05,Sunday,10,1,67,74.4,30,18,5,12,85480.61,1275.83,10,1.1,1.0
2025-10-06,Monday,10,0,61,67.8,27,17,7,9,71440.74,1171.16,11,1.0,1.0
2025-10-07,Tuesday,10,0,54,60.0,25,17,4,10,65070.4,1205.01,8,1.0,1.0
2025-10-08,Wednesday,10,0,58,64.4,27,15,6,9,66422.97,1145.22,8,1.0,1.0
2025-10-09,Thursday,10,0,58,64.4,26,15,6,8,63489.4,1094.64,8,1.0,1.0
2025-10-10,Friday,10,0,58,64.4,27,18,7,9,71307.78,1229.44,9,1.0,1.0
2025-10-11,Saturday,10,1,67,74.4,28,17,5,11,78528.44,1172.07,9,1.1,1.0
2025-10-12,Sunday,10,1,63,70.0,28,17,9,10,84539.39,1341.9,8,1.1,1.0
2025-10-13,Monday,10,0,62,68.9,25,18,5,7,64912.68,1046.98,8,1.0,1.0
2025-10-14,Tuesday,10,0,56,62.2,27,15,4,11,65099.36,1162.49,10,1.0,1.0
2025-10-15,Wednesday,10,0,56,62.2,26,14,6,11,69019.38,1232.49,9,1.0,1.0
2025-10-16,Thursday,10,0,58,64.4,25,14,8,7,65009.52,1120.85,8,1.0,1.0
2025-10-17,Friday,10,0,59,65.6,25,18,8,10,75597.77,1281.32,8,1.0,1.0
2025-10-18,Saturday,10,1,68,75.6,29,16,8,13,89112.4,1310.48,11,1.1,1.0
2025-10-19,Sunday,10,1,67,74.4,30,20,6,11,84840.23,1266.27,9,1.1,1.0
2025-10-20,Monday,10,0,60,66.7,26,14,7,8,65151.52,1085.86,8,1.0,1.0
2025-10-21,Tuesday,10,0,58,64.4,27,18,6,8,68781.38,1185.89,8,1.0,1.0
2025-10-22,Wednesday,10,0,57,63.3,26,16,5,9,65601.01,1150.89,8,1.0,1.0
2025-10-23,Thursday,10,0,56,62.2,24,17,4,11,65183.17,1163.99,9,1.0,1.0
2025-10-24,Friday,10,0,55,61.1,27,15,6,11,71448.76,1299.07,8,1.0,1.0
2025-10-25,Saturday,10,1,68,75.6,28,16,5,12,77941.85,1146.2,9,1.1,1.0
2025-10-26,Sunday,10,1,70,77.8,27,19,6,11,81671.36,1166.73,8,1.1,1.0
2025-10-27,Monday,10,0,65,72.2,28,18,4,11,71235.77,1095.93,10,1.0,1.0
2025-10-28,Tuesday,10,0,61,67.8,26,16,8,9,71745.81,1176.16,11,1.0,1.0
2025-10-29,Wednesday,10,0,59,65.6,26,15,8,8,70774.2,1199.56,10,1.0,1.0
2025-10-30,Thursday,10,0,58,64.4,24,14,6,7,61693.88,1063.69,8,1.0,1.0
2025-10-31,Friday,10,0,56,62.2,27,16,8,10,75058.94,1340.34,8,1.0,1.0
2025-11-01,Saturday,11,1,68,75.6,29,17,9,11,88396.51,1299.95,8,1.1,1.0
2025-11-02,Sunday,11,1,66,73.3,31,17,8,13,89030.2,1348.94,8,1.1,1.0
2025-11-03,Monday,11,0,58,64.4,26,17,6,9,69791.21,1203.3,8,1.0,1.0
2025-11-04,Tuesday,11,0,60,66.7,25,18,4,10,65813.48,1096.89,8,1.0,1.0
2025-11-05,Wednesday,11,0,50,55.6,25,17,4,9,63430.35,1268.61,9,1.0,1.0
2025-11-06,Thursday,11,0,56,62.2,24,16,5,10,64626.63,1154.05,8,1.0,1.0
2025-11-07,Friday,11,0,57,63.3,24,17,8,10,72993.7,1280.59,8,1.0,1.0
2025-11-08,Saturday,11,1,76,84.4,27,17,8,9,79241.81,1042.66,11,1.1,1.0
2025-11-09,Sunday,11,1,68,75.6,27,19,5,11,80315.6,1181.11,11,1.1,1.0
2025-11-10,Monday,11,0,57,63.3,24,18,7,10,71532.26,1254.95,8,1.0,1.0
2025-11-11,Tuesday,11,0,54,60.0,26,15,8,9,69536.02,1287.7,10,1.0,1.0
2025-11-12,Wednesday,11,0,63,70.0,27,16,7,11,71516.57,1135.18,11,1.0,1.0
2025-11-13,Thursday,11,0,61,67.8,26,17,8,10,73944.83,1212.21,8,1.0,1.0
2025-11-14,Friday,11,0,49,54.4,26,14,6,10,67093.72,1369.26,9,1.0,1.0
2025-11-15,Saturday,11,1,75,83.3,27,17,5,10,75363.43,1004.85,12,1.1,1.0
2025-11-16,Sunday,11,1,67,74.4,29,17,9,11,89595.9,1337.25,8,1.1,1.0
2025-11-17,Monday,11,0,57,63.3,28,18,7,8,73811.04,1294.93,8,1.0,1.0
2025-11-18,Tuesday,11,0,55,61.1,24,15,7,11,67144.26,1220.8,8,1.0,1.0
2025-11-19,Wednesday,11,0,57,63.3,26,15,5,11,67352.36,1181.62,8,1.0,1.0
2025-11-20,Thursday,11,0,60,66.7,26,17,6,8,68487.04,1141.45,10,1.0,1.0
2025-11-21,Friday,11,0,60,66.7,26,18,8,8,73389.66,1223.16,8,1.0,1.0
2025-11-22,Saturday,11,1,59,65.6,30,18,5,13,83914.41,1422.28,10,1.1,1.0
2025-11-23,Sunday,11,1,71,78.9,31,20,8,9,86382.12,1216.65,10,1.1,1.0
2025-11-24,Monday,11,0,59,65.6,25,14,6,9,64806.2,1098.41,8,1.0,1.0
2025-11-25,Tuesday,11,0,55,61.1,24,17,5,10,67179.81,1221.45,8,1.0,1.0
2025-11-26,Wednesday,11,0,62,68.9,28,17,8,8,73629.19,1187.57,8,1.0,1.0
2025-11-27,Thursday,11,0,58,64.4,24,14,5,8,59561.46,1026.92,10,1.0,1.0
2025-11-28,Friday,11,0,57,63.3,24,18,4,8,63520.98,1114.4,9,1.0,1.0
2025-11-29,Saturday,11,1,68,75.6,28,19,9,11,91553.68,1346.38,8,1.1,1.0
2025-11-30,Sunday,11,1,68,75.6,27,20,6,9,80902.85,1189.75,10,1.1,1.0
2025-12-01,Monday,12,0,60,66.7,27,14,6,10,67447.48,1124.12,9,1.0,1.0
2025-12-02,Tuesday,12,0,54,60.0,27,16,8,9,72229.7,1337.59,8,1.0,1.0
2025-12-03,Wednesday,12,0,58,64.4,27,15,8,7,68044.88,1173.19,8,1.0,1.0
2025-12-04,Thursday,12,0,59,65.6,28,18,4,11,69988.68,1186.25,10,1.0,1.0
2025-12-05,Friday,12,0,55,61.1,28,17,7,7,70975.11,1290.46,10,1.0,1.0
2025-12-06,Saturday,12,1,60,66.7,31,20,8,10,90608.65,1510.14,8,1.1,1.0
2025-12-07,Sunday,12,1,69,76.7,30,17,7,9,81010.57,1174.07,12,1.1,1.0
2025-12-08,Monday,12,0,60,66.7,27,16,4,11,67839.23,1130.65,10,1.0,1.0
2025-12-09,Tuesday,12,0,59,65.6,28,14,8,9,73052.1,1238.17,8,1.0,1.0
2025-12-10,Wednesday,12,0,59,65.6,27,17,7,9,70755.2,1199.24,10,1.0,1.0
2025-12-11,Thursday,12,0,54,60.0,24,16,4,9,62743.0,1161.91,8,1.0,1.0
2025-12-12,Friday,12,0,55,61.1,26,16,7,7,68279.51,1241.45,8,1.0,1.0
2025-12-13,Saturday,12,1,72,80.0,30,18,8,9,85579.0,1188.6,9,1.1,1.0
2025-12-14,Sunday,12,1,73,81.1,30,20,5,10,84060.42,1151.51,12,1.1,1.0
2025-12-15,Monday,12,0,54,60.0,28,14,5,8,63544.04,1176.74,8,1.0,1.0
2025-12-16,Tuesday,12,0,61,67.8,26,16,7,7,67330.37,1103.78,8,1.0,1.0
2025-12-17,Wednesday,12,0,55,61.1,25,17,6,9,69441.87,1262.58,8,1.0,1.0
2025-12-18,Thursday,12,0,61,67.8,26,14,8,8,67250.12,1102.46,8,1.0,1.0
2025-12-19,Friday,12,0,57,63.3,27,14,5,11,67519.77,1184.56,8,1.0,1.0
2025-12-20,Saturday,12,1,65,72.2,29,18,7,12,88545.04,1362.23,10,1.1,1.0
2025-12-21,Sunday,12,1,67,74.4,31,19,5,11,85486.86,1275.92,12,1.1,1.0
2025-12-22,Monday,12,0,61,67.8,28,14,6,9,67487.89,1106.36,9,1.0,1.0
2025-12-23,Tuesday,12,0,54,60.0,26,18,4,11,68962.19,1277.08,8,1.0,1.0
2025-12-24,Wednesday,12,0,52,57.8,25,17,6,10,71478.06,1374.58,8,1.0,1.0
2025-12-25,Thursday,12,0,50,55.6,25,15,7,9,68373.22,1367.46,8,1.0,1.0
2025-12-26,Friday,12,0,53,58.9,28,14,6,11,69743.06,1315.91,8,1.0,1.0
2025-12-27,Saturday,12,1,73,81.1,27,17,7,11,81850.94,1121.25,12,1.1,1.0
2025-12-28,Sunday,12,1,65,72.2,29,16,9,13,89754.8,1380.84,8,1.1,1.0
2025-12-29,Monday,12,0,52,57.8,27,17,5,8,64857.59,1247.26,9,1.0,1.0
2025-12-30,Tuesday,12,0,58,64.4,27,15,7,8,67241.74,1159.34,8,1.0,1.0
2025-12-31,Wednesday,12,0,60,66.7,25,15,4,10,62924.81,1048.75,10,1.0,1.0
