property_id,city,suburb,property_type,transaction_type,agent,bedrooms,bathrooms,floor_area_sqm,plot_size_sqm,age_years,has_pool,has_garage,is_gated_community,true_market_value,listed_price,sale_price,monthly_rent_bwp,rental_yield_pct,pricing_error_pct,commission_earned_bwp,commission_lost_bwp,listing_date,closed_date,days_on_market,viewings_count,referral_source,client_satisfaction,deal_status
PPG-00252,Gaborone,Phakalane,Warehouse,Rental,Agent_Gomolemo,0,0,115,924,33,0,1,0,4971428.571428571,29000.0,29000.0,29000.0,7.0,0.0,29000.0,0.0,2025-05-29,2025-06-15,17,1,Referral,5.0,Closed
PPG-00253,Francistown,Monarch,Apartment,Rental,Agent_Tshepho,4,3,211,570,21,0,0,1,1731428.5714285714,10100.0,10100.0,10100.0,7.0,0.0,10100.0,0.0,2024-02-20,2024-03-29,38,5,Agent Network,,Closed
PPG-00254,Maun,Boseja,Retail Space,Sale,Agent_Boago,0,0,198,1284,35,0,1,1,1687000.0,1649000.0,1654000.0,0.0,0.0,-2.25,82700.0,1900.0,2024-04-25,2024-10-20,178,20,Agent Network,3.4,Closed
PPG-00255,Francistown,Monarch,Retail Space,Sale,Agent_Lesego,0,0,418,1562,28,0,0,0,3637000.0,3512000.0,3577000.0,0.0,0.0,-3.44,178850.0,6250.0,2024-05-31,2024-08-19,80,10,Walk-in,3.2,Closed
PPG-00256,Francistown,Tati Siding,House,Sale,Agent_Lesego,5,4,276,717,34,0,1,0,751000.0,715000.0,721000.0,0.0,0.0,-4.79,36050.0,1800.0,2024-10-04,2024-10-24,20,7,Agent Network,3.1,Closed
PPG-00257,Maun,Boseja,Warehouse,Rental,Agent_Gomolemo,0,0,170,339,18,0,0,0,5811428.571428571,33900.0,33900.0,33900.0,7.0,0.0,33900.0,0.0,2025-01-24,2025-02-28,35,5,Walk-in,4.2,Closed
PPG-00258,Gaborone,Mogoditshane,Apartment,Rental,Agent_Neo,5,4,82,381,15,0,0,0,1319999.9999999998,7700.0,7700.0,7700.0,7.0,0.0,7700.0,0.0,2025-05-16,2025-06-13,28,2,Referral,3.7,Closed
PPG-00259,Maun,Boseja,Apartment,Rental,Agent_Neo,1,1,323,1092,1,0,0,0,2314285.714285714,13500.0,13500.0,13500.0,7.0,0.0,13500.0,0.0,2024-08-18,2024-08-30,12,4,Online Listing,3.2,Closed
PPG-00260,Francistown,Somerset,Plot,Sale,Agent_Mpho,0,0,0,1173,19,0,0,0,161000.0,152000.0,159000.0,0.0,0.0,-5.59,7950.0,450.0,2024-05-18,2024-12-14,210,26,Referral,4.8,Closed
PPG-00261,Francistown,Monarch,Commercial Office,Sale,Agent_Neo,0,0,248,950,9,0,0,0,3052000.0,3183000.0,3035000.0,0.0,0.0,4.29,151750.0,0.0,2024-04-19,2024-05-29,40,4,Referral,4.2,Closed
PPG-00262,Francistown,Somerset,Commercial Office,Sale,Agent_Mpho,0,0,86,1035,5,0,0,0,1032000.0,1038000.0,972000.0,0.0,0.0,0.58,48600.0,0.0,2024-01-16,2024-04-01,76,8,Agent Network,5.0,Closed
PPG-00263,Gaborone,Tlokweng,Apartment,Rental,Agent_Tshepho,3,2,528,805,27,0,0,0,925714.2857142857,5400.0,5400.0,5400.0,7.0,0.0,5400.0,0.0,2025-01-24,2025-02-16,23,6,Agent Network,4.1,Closed
PPG-00264,Maun,Sedie Ward,Warehouse,Sale,Agent_Boago,0,0,593,523,28,0,1,0,8120000.0,8235000.0,7741000.0,0.0,0.0,1.42,387050.0,0.0,2025-03-26,,108,12,Online Listing,3.8,Active
PPG-00265,Maun,Matlapana,Warehouse,Sale,Agent_Neo,0,0,534,1999,28,0,1,0,6542000.0,6226000.0,6560000.0,0.0,0.0,-4.83,328000.0,15800.0,2024-07-25,2024-11-25,123,14,Walk-in,4.3,Closed
PPG-00266,Maun,Matlapana,Warehouse,Sale,Agent_Boago,0,0,153,533,28,0,0,1,2022000.0,1890000.0,1948000.0,0.0,0.0,-6.53,97400.0,6600.0,2024-06-02,2024-08-23,82,13,Referral,,Closed
PPG-00267,Francistown,Gerald Estate,Warehouse,Rental,Agent_Gomolemo,0,0,355,1582,11,0,1,1,5519999.999999999,32200.0,32200.0,32200.0,7.0,0.0,32200.0,0.0,2024-09-16,2024-09-19,3,3,Agent Network,4.1,Closed
PPG-00268,Gaborone,Riverwalk,Apartment,Rental,Agent_Mpho,4,3,479,1204,5,0,0,0,874285.7142857142,5100.0,5100.0,5100.0,7.0,0.0,5100.0,0.0,2024-10-11,2024-11-22,42,5,Cold Call,,Closed
PPG-00269,Gaborone,Phakalane,Warehouse,Sale,Agent_Lesego,0,0,208,366,19,0,1,1,2831000.0,2770000.0,2853000.0,0.0,0.0,-2.15,142650.0,3050.0,2025-01-03,2025-01-19,16,3,Walk-in,4.8,Closed
PPG-00270,Gaborone,CBD,Retail Space,Sale,Agent_Neo,0,0,359,1264,8,0,1,0,3569000.0,3538000.0,3377000.0,0.0,0.0,-0.87,168850.0,1550.0,2024-10-21,2025-02-14,116,13,Cold Call,,Closed
PPG-00271,Maun,Sedie Ward,Townhouse,Rental,Agent_Mpho,5,4,569,1308,11,0,1,1,1559999.9999999998,9100.0,9100.0,9100.0,7.0,0.0,9100.0,0.0,2024-05-01,2024-05-05,4,5,Agent Network,4.5,Closed
PPG-00272,Gaborone,CBD,Plot,Sale,Agent_Kabo,0,0,0,1016,35,0,0,0,471000.0,471000.0,471000.0,0.0,0.0,0.0,23550.0,0.0,2024-07-25,2024-10-12,79,7,Online Listing,4.0,Closed
PPG-00273,Francistown,Monarch,House,Rental,Agent_Boago,3,2,465,1783,1,0,1,0,4062857.1428571423,23700.0,23700.0,23700.0,7.0,0.0,23700.0,0.0,2025-05-05,2025-06-07,33,8,Walk-in,,Closed
PPG-00274,Gaborone,Riverwalk,Retail Space,Rental,Agent_Neo,0,0,533,1905,26,0,0,1,5005714.285714285,29200.0,29200.0,29200.0,7.0,0.0,29200.0,0.0,2024-11-19,2024-12-27,38,3,Cold Call,,Closed
PPG-00275,Maun,Boseja,Retail Space,Rental,Agent_Gomolemo,0,0,127,605,17,0,0,1,4182857.1428571423,24400.0,24400.0,24400.0,7.0,0.0,24400.0,0.0,2024-06-18,2024-07-27,39,6,Cold Call,,Closed
PPG-00276,Gaborone,Phase 2,Warehouse,Rental,Agent_Gomolemo,0,0,92,856,26,0,1,0,7251428.571428571,42300.0,42300.0,42300.0,7.0,0.0,42300.0,0.0,2024-11-05,2024-11-21,16,3,Cold Call,,Closed
PPG-00277,Francistown,Monarch,Retail Space,Sale,Agent_Mpho,0,0,514,1336,1,0,0,0,5058000.0,4947000.0,5102000.0,0.0,0.0,-2.19,255100.0,5550.0,2024-05-15,2024-07-13,59,8,Walk-in,4.7,Closed
PPG-00278,Gaborone,Phakalane,Townhouse,Sale,Agent_Kabo,3,2,538,394,6,0,0,1,3205000.0,2990000.0,3039000.0,0.0,0.0,-6.71,151950.0,10750.0,2024-06-01,2024-08-04,64,10,Walk-in,3.2,Closed
PPG-00279,Maun,Boseja,Commercial Office,Rental,Agent_Lesego,0,0,204,1742,18,0,0,1,4971428.571428571,29000.0,29000.0,29000.0,7.0,0.0,29000.0,0.0,2024-12-12,2025-01-18,37,3,Agent Network,,Closed
PPG-00280,Francistown,Monarch,House,Sale,Agent_Tshepho,1,1,496,1102,11,0,0,0,1272000.0,1249000.0,1278000.0,0.0,0.0,-1.81,63900.0,1150.0,2025-04-21,,152,15,Referral,4.8,Active
PPG-00281,Francistown,Monarch,Plot,Sale,Agent_Lesego,0,0,0,1263,14,0,0,0,167000.0,167000.0,167000.0,0.0,0.0,0.0,8350.0,0.0,2024-09-21,2024-12-30,100,11,Agent Network,4.3,Closed
PPG-00282,Francistown,Tati Siding,Plot,Sale,Agent_Kabo,0,0,0,1273,7,0,0,1,150000.0,136000.0,144000.0,0.0,0.0,-9.33,7200.0,700.0,2024-03-13,2024-07-18,127,16,Agent Network,4.2,Closed
PPG-00283,Maun,Matlapana,Plot,Sale,Agent_Tshepho,0,0,0,997,13,0,0,0,118000.0,118000.0,119000.0,0.0,0.0,0.0,5950.0,0.0,2025-05-13,2025-06-18,36,7,Cold Call,4.1,Closed
PPG-00284,Francistown,Somerset,Townhouse,Sale,Agent_Tshepho,5,4,171,1703,24,0,0,1,402000.0,409000.0,386000.0,0.0,0.0,1.74,19300.0,0.0,2025-04-02,2025-05-29,57,10,Referral,3.6,Closed
PPG-00285,Maun,Boseja,Plot,Sale,Agent_Boago,0,0,0,482,0,0,0,0,120000.0,120000.0,120000.0,0.0,0.0,0.0,6000.0,0.0,2024-05-10,2024-07-31,82,10,Walk-in,4.9,Closed
PPG-00286,Gaborone,Extension 14,Retail Space,Sale,Agent_Lesego,0,0,348,363,15,0,1,0,3411000.0,3389000.0,3408000.0,0.0,0.0,-0.64,170400.0,1100.0,2025-01-03,2025-04-26,113,13,Referral,4.3,Closed
PPG-00287,Gaborone,Phakalane,House,Sale,Agent_Boago,2,1,558,1647,27,0,1,1,4066000.0,3985000.0,4055000.0,0.0,0.0,-1.99,202750.0,4050.0,2025-01-28,2025-05-05,97,10,Referral,3.0,Closed
PPG-00288,Francistown,Somerset,Warehouse,Rental,Agent_Neo,0,0,480,1418,23,0,1,1,8400000.0,49000.0,49000.0,49000.0,7.0,0.0,49000.0,0.0,2025-01-12,2025-01-22,10,4,Cold Call,3.2,Closed
PPG-00289,Maun,Sedie Ward,Commercial Office,Rental,Agent_Gomolemo,0,0,536,1358,5,0,1,0,4457142.857142856,26000.0,26000.0,26000.0,7.0,0.0,26000.0,0.0,2024-03-20,2024-05-02,43,8,Cold Call,3.1,Closed
PPG-00290,Francistown,Monarch,Plot,Sale,Agent_Tshepho,0,0,0,1475,21,0,0,0,197000.0,197000.0,197000.0,0.0,0.0,0.0,9850.0,0.0,2024-10-28,2025-01-17,81,8,Referral,4.2,Closed
PPG-00291,Francistown,Gerald Estate,House,Rental,Agent_Boago,5,4,233,1473,3,0,1,0,1457142.857142857,8500.0,8500.0,8500.0,7.0,0.0,8500.0,0.0,2025-05-11,2025-05-19,8,4,Referral,,Closed
PPG-00292,Francistown,Gerald Estate,Apartment,Rental,Agent_Neo,3,2,323,329,7,0,0,0,2262857.1428571427,13200.0,13200.0,13200.0,7.0,0.0,13200.0,0.0,2024-06-03,2024-07-18,45,6,Agent Network,3.5,Closed
PPG-00293,Maun,Matlapana,Plot,Sale,Agent_Mpho,0,0,0,1002,5,0,0,0,127000.0,130000.0,121000.0,0.0,0.0,2.36,6050.0,0.0,2024-12-19,2025-01-08,20,2,Online Listing,,Closed
PPG-00294,Francistown,Tati Siding,Plot,Sale,Agent_Lesego,0,0,0,1828,34,0,0,1,161000.0,161000.0,161000.0,0.0,0.0,0.0,8050.0,0.0,2025-02-03,2025-06-11,128,13,Online Listing,3.9,Closed
PPG-00295,Francistown,Tati Siding,Plot,Sale,Agent_Boago,0,0,0,1385,2,0,0,1,156000.0,156000.0,156000.0,0.0,0.0,0.0,7800.0,0.0,2024-12-28,2025-04-24,117,16,Cold Call,3.7,Closed
PPG-00296,Francistown,Monarch,Townhouse,Rental,Agent_Boago,4,3,307,1803,12,0,0,0,1782857.1428571427,10400.0,10400.0,10400.0,7.0,0.0,10400.0,0.0,2024-01-11,2024-01-14,3,1,Walk-in,4.1,Closed
PPG-00297,Maun,Boseja,Townhouse,Rental,Agent_Mpho,3,2,257,369,1,0,1,0,2879999.9999999995,16800.0,16800.0,16800.0,7.0,0.0,16800.0,0.0,2024-08-10,2024-09-20,41,9,Walk-in,3.2,Closed
PPG-00298,Maun,Matlapana,Plot,Sale,Agent_Boago,0,0,0,527,11,0,0,1,121000.0,125000.0,116000.0,0.0,0.0,3.31,5800.0,0.0,2024-06-14,2024-07-09,25,2,Online Listing,3.7,Closed
PPG-00299,Gaborone,Phase 2,Retail Space,Sale,Agent_Lesego,0,0,511,442,31,0,0,1,4085000.0,4102000.0,3914000.0,0.0,0.0,0.42,195700.0,0.0,2024-02-05,2024-03-01,25,6,Walk-in,4.6,Closed
PPG-00300,Gaborone,Riverwalk,Apartment,Sale,Agent_Boago,1,1,459,845,9,0,0,0,1714000.0,1753000.0,1705000.0,0.0,0.0,2.28,85250.0,0.0,2024-08-19,2024-08-26,7,5,Agent Network,4.0,Closed
PPG-00301,Maun,Sedie Ward,Townhouse,Rental,Agent_Lesego,4,3,116,1594,5,0,0,1,2794285.714285714,16300.0,16300.0,16300.0,7.0,0.0,16300.0,0.0,2024-10-23,2024-12-06,44,5,Referral,4.9,Closed
PPG-00302,Maun,Matlapana,Townhouse,Rental,Agent_Boago,1,1,427,1296,5,0,1,1,1268571.4285714284,7400.0,7400.0,7400.0,7.0,0.0,7400.0,0.0,2024-01-26,2024-03-06,40,7,Referral,4.6,Closed
PPG-00303,Maun,Boseja,Plot,Sale,Agent_Neo,0,0,0,333,2,0,0,1,116000.0,116000.0,116000.0,0.0,0.0,0.0,5800.0,0.0,2024-02-13,2024-06-02,110,12,Walk-in,4.3,Closed
PPG-00304,Francistown,Somerset,Warehouse,Sale,Agent_Neo,0,0,133,375,9,0,1,1,2251000.0,2254000.0,2131000.0,0.0,0.0,0.13,106550.0,0.0,2024-06-23,2024-11-28,158,15,Walk-in,,Closed
PPG-00305,Maun,Sedie Ward,Apartment,Sale,Agent_Kabo,4,3,405,1961,25,0,0,1,485000.0,474000.0,460000.0,0.0,0.0,-2.27,23000.0,550.0,2024-05-24,2024-09-14,113,16,Referral,3.3,Closed
PPG-00306,Gaborone,Phakalane,Apartment,Rental,Agent_Kabo,2,1,76,1297,5,0,0,1,1131428.5714285714,6600.0,6600.0,6600.0,7.0,0.0,6600.0,0.0,2024-04-01,2024-05-15,44,6,Cold Call,4.6,Closed
PPG-00307,Francistown,Somerset,Apartment,Rental,Agent_Mpho,5,4,521,1143,15,0,0,0,1799999.9999999998,10500.0,10500.0,10500.0,7.0,0.0,10500.0,0.0,2024-02-08,2024-03-20,41,9,Referral,4.9,Closed
PPG-00308,Maun,Boseja,Townhouse,Sale,Agent_Tshepho,5,4,301,693,7,0,0,0,593000.0,597000.0,564000.0,0.0,0.0,0.67,28200.0,0.0,2025-04-30,,134,14,Referral,3.1,Active
PPG-00309,Maun,Boseja,Townhouse,Rental,Agent_Mpho,3,2,402,1563,29,1,0,0,1525714.2857142857,8900.0,8900.0,8900.0,7.0,0.0,8900.0,0.0,2024-01-30,2024-03-04,34,3,Cold Call,,Closed
PPG-00310,Gaborone,Riverwalk,Commercial Office,Rental,Agent_Neo,0,0,489,707,20,0,1,1,4337142.857142856,25300.0,25300.0,25300.0,7.0,0.0,25300.0,0.0,2024-08-30,2024-09-28,29,5,Referral,3.1,Closed
PPG-00311,Maun,Boseja,House,Sale,Agent_Tshepho,2,1,525,664,24,0,1,1,939000.0,943000.0,910000.0,0.0,0.0,0.43,45500.0,0.0,2024-12-17,2025-02-18,63,10,Online Listing,,Closed
PPG-00312,Maun,Sedie Ward,Apartment,Sale,Agent_Neo,1,1,481,1368,31,0,0,0,363000.0,377000.0,347000.0,0.0,0.0,3.86,17350.0,0.0,2024-06-01,2024-11-01,153,18,Walk-in,3.1,Closed
PPG-00313,Francistown,Monarch,Plot,Sale,Agent_Neo,0,0,0,1281,6,0,0,0,171000.0,171000.0,171000.0,0.0,0.0,0.0,8550.0,0.0,2024-01-13,2024-05-03,111,12,Referral,3.5,Closed
PPG-00314,Gaborone,Phakalane,Plot,Sale,Agent_Boago,0,0,0,631,29,0,0,0,472000.0,472000.0,472000.0,0.0,0.0,0.0,23600.0,0.0,2024-01-25,2024-05-27,123,13,Agent Network,3.8,Closed
PPG-00315,Francistown,Tati Siding,Warehouse,Sale,Agent_Boago,0,0,132,1088,21,0,1,1,1956000.0,1953000.0,1966000.0,0.0,0.0,-0.15,98300.0,150.0,2025-01-07,2025-01-27,20,5,Walk-in,4.2,Closed
PPG-00316,Francistown,Gerald Estate,Apartment,Sale,Agent_Boago,5,4,269,583,21,0,0,1,514000.0,520000.0,496000.0,0.0,0.0,1.17,24800.0,0.0,2024-09-30,2025-02-12,135,15,Agent Network,,Closed
PPG-00317,Francistown,Gerald Estate,Plot,Sale,Agent_Tshepho,0,0,0,1262,34,0,0,0,151000.0,155000.0,151000.0,0.0,0.0,2.65,7550.0,0.0,2025-04-13,2025-05-12,29,5,Walk-in,3.6,Closed
PPG-00318,Gaborone,Tlokweng,Apartment,Sale,Agent_Lesego,2,1,568,608,13,0,0,0,1314000.0,1319000.0,1262000.0,0.0,0.0,0.38,63100.0,0.0,2024-03-05,2024-03-17,12,5,Referral,3.8,Closed
PPG-00319,Francistown,Gerald Estate,Plot,Sale,Agent_Neo,0,0,0,1237,19,0,0,0,216000.0,216000.0,216000.0,0.0,0.0,0.0,10800.0,0.0,2024-11-09,2024-12-29,50,6,Online Listing,4.9,Closed
PPG-00320,Gaborone,Mogoditshane,Townhouse,Rental,Agent_Lesego,2,1,224,1757,34,0,0,0,2502857.1428571427,14600.0,14600.0,14600.0,7.0,0.0,14600.0,0.0,2024-06-06,2024-06-19,13,1,Referral,,Closed
PPG-00321,Francistown,Somerset,Plot,Sale,Agent_Lesego,0,0,0,677,13,0,0,0,177000.0,177000.0,177000.0,0.0,0.0,0.0,8850.0,0.0,2024-11-20,2025-02-23,95,11,Referral,5.0,Closed
PPG-00322,Maun,Boseja,House,Rental,Agent_Kabo,4,3,208,1238,20,1,0,0,2845714.2857142854,16600.0,16600.0,16600.0,7.0,0.0,16600.0,0.0,2024-10-29,2024-12-01,33,7,Online Listing,4.6,Closed
PPG-00323,Maun,Boseja,Townhouse,Sale,Agent_Boago,4,3,101,585,35,1,1,0,147000.0,149000.0,140000.0,0.0,0.0,1.36,7000.0,0.0,2024-03-26,2024-08-17,144,19,Agent Network,3.2,Closed
PPG-00324,Maun,Boseja,Apartment,Rental,Agent_Tshepho,5,4,583,414,23,0,0,1,1954285.714285714,11400.0,11400.0,11400.0,7.0,0.0,11400.0,0.0,2025-03-13,2025-04-08,26,4,Agent Network,,Closed
PPG-00325,Francistown,Gerald Estate,Townhouse,Sale,Agent_Tshepho,2,1,514,1818,26,0,1,0,1089000.0,1095000.0,1090000.0,0.0,0.0,0.55,54500.0,0.0,2024-12-09,2025-01-01,23,5,Cold Call,,Closed
PPG-00326,Francistown,Gerald Estate,Plot,Sale,Agent_Mpho,0,0,0,1754,8,0,0,1,213000.0,213000.0,213000.0,0.0,0.0,0.0,10650.0,0.0,2024-10-23,2025-03-20,148,14,Agent Network,3.6,Closed
PPG-00327,Maun,Boseja,Plot,Sale,Agent_Neo,0,0,0,759,1,0,0,0,112000.0,112000.0,112000.0,0.0,0.0,0.0,5600.0,0.0,2024-11-03,2025-04-22,170,17,Agent Network,4.8,Closed
PPG-00328,Francistown,Somerset,Plot,Sale,Agent_Boago,0,0,0,358,7,0,0,0,184000.0,176000.0,186000.0,0.0,0.0,-4.35,9300.0,400.0,2024-05-02,2024-08-12,102,15,Cold Call,4.7,Closed
PPG-00329,Gaborone,Phakalane,Apartment,Rental,Agent_Lesego,2,1,425,634,3,0,0,1,1508571.4285714284,8800.0,8800.0,8800.0,7.0,0.0,8800.0,0.0,2024-12-30,2025-01-05,6,2,Online Listing,4.9,Closed
PPG-00330,Maun,Matlapana,Retail Space,Sale,Agent_Boago,0,0,156,1526,10,0,1,0,1649000.0,1639000.0,1552000.0,0.0,0.0,-0.61,77600.0,500.0,2024-10-15,2025-01-25,102,13,Agent Network,4.8,Closed
PPG-00331,Gaborone,Broadhurst,Apartment,Sale,Agent_Neo,2,1,598,1389,35,0,0,0,1341000.0,1211000.0,1274000.0,0.0,0.0,-9.69,63700.0,6500.0,2025-03-28,,240,25,Online Listing,3.1,Active
PPG-00332,Gaborone,Broadhurst,Apartment,Sale,Agent_Gomolemo,2,1,374,556,13,0,0,1,918000.0,889000.0,914000.0,0.0,0.0,-3.16,45700.0,1450.0,2024-03-01,2024-07-06,127,14,Walk-in,,Closed
PPG-00333,Francistown,Monarch,Retail Space,Sale,Agent_Kabo,0,0,270,1503,12,0,1,1,2563000.0,2624000.0,2453000.0,0.0,0.0,2.38,122650.0,0.0,2024-03-10,2024-04-11,32,3,Cold Call,4.4,Closed
PPG-00334,Francistown,Somerset,Retail Space,Sale,Agent_Neo,0,0,161,738,32,0,0,0,1308000.0,1383000.0,1267000.0,0.0,0.0,5.73,63350.0,0.0,2024-11-17,2024-12-25,38,3,Agent Network,4.0,Closed
PPG-00335,Francistown,Gerald Estate,Commercial Office,Sale,Agent_Boago,0,0,144,971,31,0,1,1,1472000.0,1507000.0,1391000.0,0.0,0.0,2.38,69550.0,0.0,2025-05-02,,180,19,Online Listing,,Active
PPG-00336,Maun,Boseja,Warehouse,Rental,Agent_Kabo,0,0,508,1370,5,0,1,1,10577142.857142856,61700.0,61700.0,61700.0,7.0,0.0,61700.0,0.0,2024-04-14,2024-04-27,13,3,Walk-in,3.7,Closed
PPG-00337,Maun,Boseja,House,Rental,Agent_Mpho,4,3,345,1866,17,0,0,0,2417142.857142857,14100.0,14100.0,14100.0,7.0,0.0,14100.0,0.0,2025-02-18,2025-03-24,34,5,Cold Call,,Closed
PPG-00338,Francistown,Monarch,House,Rental,Agent_Lesego,4,3,296,1586,8,1,0,0,2828571.428571428,16500.0,16500.0,16500.0,7.0,0.0,16500.0,0.0,2024-01-28,2024-02-11,14,5,Agent Network,3.3,Closed
PPG-00339,Maun,Sedie Ward,House,Sale,Agent_Gomolemo,5,4,564,1923,29,1,0,0,1138000.0,1176000.0,1100000.0,0.0,0.0,3.34,55000.0,0.0,2024-11-18,2025-03-01,103,13,Agent Network,,Closed
PPG-00340,Gaborone,Extension 14,Warehouse,Rental,Agent_Gomolemo,0,0,228,1306,27,0,1,0,8434285.714285713,49200.0,49200.0,49200.0,7.0,0.0,49200.0,0.0,2024-04-22,2024-05-31,39,8,Agent Network,4.1,Closed
PPG-00341,Francistown,Tati Siding,Commercial Office,Sale,Agent_Gomolemo,0,0,578,414,25,0,1,0,5894000.0,5831000.0,5874000.0,0.0,0.0,-1.07,293700.0,3150.0,2024-01-28,2024-07-13,167,19,Online Listing,,Closed
PPG-00342,Francistown,Gerald Estate,Plot,Sale,Agent_Lesego,0,0,0,1654,15,0,0,1,186000.0,178000.0,181000.0,0.0,0.0,-4.3,9050.0,400.0,2025-03-08,,152,18,Cold Call,,Active
PPG-00343,Maun,Boseja,Commercial Office,Rental,Agent_Kabo,0,0,446,1468,24,0,1,1,6342857.142857142,37000.0,37000.0,37000.0,7.0,0.0,37000.0,0.0,2024-07-29,2024-08-22,24,6,Agent Network,4.3,Closed
PPG-00344,Gaborone,Phase 2,Townhouse,Sale,Agent_Tshepho,4,3,137,1397,13,0,1,0,611000.0,624000.0,609000.0,0.0,0.0,2.13,30450.0,0.0,2025-05-01,,116,13,Referral,4.3,Active
PPG-00345,Francistown,Gerald Estate,Plot,Sale,Agent_Boago,0,0,0,709,26,0,0,0,205000.0,205000.0,205000.0,0.0,0.0,0.0,10250.0,0.0,2025-04-09,,178,18,Cold Call,4.3,Active
PPG-00346,Maun,Matlapana,Commercial Office,Sale,Agent_Tshepho,0,0,538,848,34,0,0,0,5372000.0,5276000.0,5338000.0,0.0,0.0,-1.79,266900.0,4800.0,2025-03-21,,112,11,Online Listing,4.7,Active
PPG-00347,Francistown,Gerald Estate,Warehouse,Rental,Agent_Mpho,0,0,301,1131,15,0,1,1,5948571.428571428,34700.0,34700.0,34700.0,7.0,0.0,34700.0,0.0,2024-11-13,2024-12-15,32,7,Agent Network,3.8,Closed
PPG-00348,Gaborone,Broadhurst,Apartment,Sale,Agent_Lesego,1,1,324,1917,17,0,0,0,691000.0,690000.0,691000.0,0.0,0.0,-0.14,34550.0,50.0,2025-02-20,2025-05-31,100,13,Walk-in,4.4,Closed
PPG-00349,Gaborone,Broadhurst,House,Sale,Agent_Neo,5,4,597,815,31,0,1,1,3215000.0,3015000.0,3062000.0,0.0,0.0,-6.22,153100.0,10000.0,2024-10-08,2025-03-28,171,17,Cold Call,3.7,Closed
PPG-00350,Gaborone,Block 9,Commercial Office,Rental,Agent_Tshepho,0,0,312,868,9,0,1,0,8914285.714285713,52000.0,52000.0,52000.0,7.0,0.0,52000.0,0.0,2024-01-22,2024-03-06,44,4,Cold Call,4.3,Closed
PPG-00351,Gaborone,Broadhurst,Townhouse,Rental,Agent_Neo,3,2,431,1963,7,0,1,0,1217142.857142857,7100.0,7100.0,7100.0,7.0,0.0,7100.0,0.0,2025-02-06,2025-02-25,19,1,Online Listing,4.5,Closed
PPG-00352,Francistown,Somerset,Retail Space,Rental,Agent_Mpho,0,0,384,1963,26,0,0,1,2502857.1428571427,14600.0,14600.0,14600.0,7.0,0.0,14600.0,0.0,2025-05-18,2025-06-20,33,5,Agent Network,4.8,Closed
PPG-00353,Gaborone,Mogoditshane,Warehouse,Sale,Agent_Lesego,0,0,420,1161,35,0,0,0,4659000.0,4720000.0,4482000.0,0.0,0.0,1.31,224100.0,0.0,2024-03-25,2024-04-29,35,4,Referral,4.9,Closed
PPG-00354,Maun,Matlapana,Retail Space,Rental,Agent_Neo,0,0,387,1224,30,0,0,1,3034285.714285714,17700.0,17700.0,17700.0,7.0,0.0,17700.0,0.0,2024-12-01,2024-12-22,21,2,Referral,3.4,Closed
PPG-00355,Francistown,Somerset,House,Sale,Agent_Kabo,1,1,533,706,16,0,1,0,1405000.0,1299000.0,1411000.0,0.0,0.0,-7.54,70550.0,5300.0,2025-04-09,,267,31,Referral,,Active
PPG-00356,Francistown,Gerald Estate,Warehouse,Rental,Agent_Tshepho,0,0,193,1183,13,0,0,0,6342857.142857142,37000.0,37000.0,37000.0,7.0,0.0,37000.0,0.0,2024-07-12,2024-08-10,29,5,Referral,3.1,Closed
PPG-00357,Francistown,Somerset,Commercial Office,Sale,Agent_Tshepho,0,0,438,1493,29,0,1,0,4633000.0,4601000.0,4536000.0,0.0,0.0,-0.69,226800.0,1600.0,2024-02-23,2024-05-25,92,12,Referral,5.0,Closed
PPG-00358,Maun,Sedie Ward,Warehouse,Sale,Agent_Boago,0,0,65,819,32,0,0,1,790000.0,778000.0,791000.0,0.0,0.0,-1.52,39550.0,600.0,2024-05-15,2024-06-13,29,7,Online Listing,3.3,Closed
PPG-00359,Gaborone,Block 9,House,Rental,Agent_Mpho,3,2,429,1180,18,0,1,0,4079999.9999999995,23800.0,23800.0,23800.0,7.0,0.0,23800.0,0.0,2024-11-16,2024-12-16,30,5,Referral,4.0,Closed
PPG-00360,Gaborone,Extension 14,Retail Space,Rental,Agent_Boago,0,0,114,686,9,0,1,1,4714285.714285714,27500.0,27500.0,27500.0,7.0,0.0,27500.0,0.0,2024-06-16,2024-07-18,32,3,Agent Network,4.9,Closed
PPG-00361,Gaborone,Riverwalk,Townhouse,Rental,Agent_Boago,4,3,564,530,9,1,1,0,1542857.1428571427,9000.0,9000.0,9000.0,7.0,0.0,9000.0,0.0,2024-06-21,2024-07-26,35,7,Online Listing,4.2,Closed
PPG-00362,Maun,Matlapana,Commercial Office,Sale,Agent_Gomolemo,0,0,486,457,15,0,0,0,5677000.0,5830000.0,5397000.0,0.0,0.0,2.7,269850.0,0.0,2024-03-24,2024-07-26,124,15,Agent Network,3.5,Closed
PPG-00363,Maun,Matlapana,Townhouse,Rental,Agent_Kabo,3,2,192,732,3,0,1,0,2605714.2857142854,15200.0,15200.0,15200.0,7.0,0.0,15200.0,0.0,2025-01-25,2025-02-02,8,2,Agent Network,,Closed
PPG-00364,Francistown,Monarch,House,Sale,Agent_Gomolemo,2,1,457,1896,25,0,0,0,1027000.0,1041000.0,1025000.0,0.0,0.0,1.36,51250.0,0.0,2024-07-23,2024-12-02,132,16,Agent Network,4.1,Closed
